date, shift_start, shift_end, shift_type, hours,,,,, shift_start, shift_end, shift_type
28-09-2025, , ,day off,0,,,,,,,
29-09-2025,7am,3pm,morning shift,8,,,,,,,
30-09-2025,3pm,11pm,evenning shift,8,,,,,,,
01-10-2025,3pm,11pm,evenning shift,8,,,,,,,
02-10-2025, , ,day off,0,,,,,,,
03-10-2025,7am,3pm,morning shift,8,,,,,,,
04-10-2025,7am,3pm,morning shift,8,,,,,,,
05-10-2025,7am,3pm,morning shift,8,,,,,,,
06-10-2025,3pm,11pm,evenning shift,8,,,,,,,
07-10-2025,3pm,11pm,evenning shift,8,,,,,,,
08-10-2025,3pm,11pm,evenning shift,8,,,,,,,
09-10-2025,3pm,11pm,evenning shift,8,,,,,,,
10-10-2025, , ,day off,0,,,,,,,
11-10-2025,7am,3pm,morning shift,8,,,,,,,
12-10-2025,7am,3pm,morning shift,8,,,,,,,
13-10-2025,3pm,11pm,evenning shift,8,,,,,,,
14-10-2025,3pm,11pm,evenning shift,8,,,,,,,
15-10-2025,3pm,11pm,evenning shift,8,,,,,,,
16-10-2025,3pm,11pm,evenning shift,8,,,,,,,
17-10-2025,3pm,11pm,evenning shift,8,,,,,,,
18-10-2025, , ,day off,0,,,,,,,
19-10-2025,7am,3pm,morning shift,8,,,,,,,
20-10-2025,3pm,11pm,evenning shift,8,,,,,,,
21-10-2025,3pm,11pm,evenning shift,8,,,,,,,
22-10-2025,3pm,11pm,evenning shift,8,,,,,,,
23-10-2025, , ,day off,0,,,,,,,
24-10-2025, , ,day off,0,,,,,,,
25-10-2025, , ,day off,0,,,,,,,
26-10-2025,7am,3pm,morning shift,8,,,,,,,
27-10-2025,7am,3pm,morning shift,8,,,,,,,
28-10-2025,7am,3pm,morning shift,8,,,,,,,
29-10-2025,3pm,11pm,evenning shift,8,,,,,,,
30-10-2025,3pm,11pm,evenning shift,8,,,,,,,
31-10-2025,3pm,11pm,evenning shift,8,,,,,,,
01-11-2025,3pm,11pm,evenning shift,8,,,,,,,
02-11-2025, , ,day off,0,,,,,,,
03-11-2025,7am,3pm,morning shift,8,,,,,,,
04-11-2025,7am,3pm,morning shift,8,,,,,,,
05-11-2025,3pm,11pm,evenning shift,8,,,,,,,
06-11-2025,3pm,11pm,evenning shift,8,,,,,,,
07-11-2025, , ,day off,0,,,,,,,
08-11-2025,3pm,11pm,evenning shift,8,,,,,,,
09-11-2025,3pm,11pm,evenning shift,8,,,,,,,
10-11-2025,3pm,11pm,evenning shift,8,,,,,,,
11-11-2025,3pm,11pm,evenning shift,8,,,,,,,
12-11-2025,3pm,11pm,evenning shift,8,,,,,,,
13-11-2025, , ,day off,0,,,,,,,
14-11-2025, , ,day off,0,,,,,,,
15-11-2025,11pm,7am,night shift,8,,,,,,,
16-11-2025,7am,3pm,morning shift,8,,,,,,,
17-11-2025,7am,3pm,morning shift,8,,,,,,,
18-11-2025,3pm,11pm,evenning shift,8,,,,,,,
19-11-2025,3pm,11pm,evenning shift,8,,,,,,,
20-11-2025,11pm,7am,night shift,8,,,,,,,
21-11-2025,11pm,7am,night shift,8,,,,,,,
22-11-2025, , ,day off,0,,,,,,,
23-11-2025,3pm,11pm,evenning shift,8,,,,,,,
24-11-2025,3pm,11pm,evenning shift,8,,,,,,,
25-11-2025,3pm,11pm,evenning shift,8,,,,,,,
26-11-2025,3pm,11pm,evenning shift,8,,,,,,,
27-11-2025, , ,day off,0,,,,,,,
28-11-2025,11pm,7am,night shift,8,,,,,,,
29-11-2025,11pm,7am,night shift,8,,,,,,,
30-11-2025, , ,day off,0,,,,,,,
01-12-2025, , ,day off,0,,,,,,,
02-12-2025,3pm,11pm,evenning shift,8,,,,,,,
03-12-2025,3pm,11pm,evenning shift,8,,,,,,,
04-12-2025,3pm,11pm,evenning shift,8,,,,,,,
05-12-2025, , ,day off,0,,,,,,,
06-12-2025,3pm,11pm,evenning shift,8,,,,,,,
07-12-2025,3pm,11pm,evenning shift,8,,,,,,,
08-12-2025, , ,day off,0,,,,,,,
09-12-2025,3pm,11pm,evenning shift,8,,,,,,,
10-12-2025,3pm,11pm,evenning shift,8,,,,,,,
11-12-2025, , ,day off,0,,,,,,,
12-12-2025,3pm,11pm,evenning shift,8,,,,,,,
13-12-2025, , ,day off,0,,,,,,,
14-12-2025,3pm,11pm,evenning shift,8,,,,,,,
15-12-2025, , ,day off,0,,,,,,,
16-12-2025,11pm,7am,night shift,8,,,,,,,
17-12-2025, , ,day off,0,,,,,,,
18-12-2025,3pm,11pm,evenning shift,8,,,,,,,
19-12-2025,3pm,11pm,evenning shift,8,,,,,,,
20-12-2025,3pm,11pm,evenning shift,8,,,,,,,
21-12-2025,3pm,11pm,evenning shift,8,,,,,,,
22-12-2025,3pm,11pm,evenning shift,8,,,,,,,
23-12-2025,3pm,11pm,evenning shift,8,,,,,,,
24-12-2025, , ,day off,0,,,,,,,
25-12-2025,3pm,11pm,evenning shift,8,,,,,,,
26-12-2025,11pm,7am,night shift,8,,,,,,,
27-12-2025, , ,day off,0,,,,,,,
28-12-2025,3pm,11pm,evenning shift,8,,,,,,,
29-12-2025,3pm,11pm,evenning shift,8,,,,,,,
30-12-2025,3pm,11pm,evenning shift,8,,,,,,,
31-12-2025,3pm,11pm,evenning shift,8,,,,,,,
01-01-2026,3pm,11pm,evenning shift,8,,,,,,,
02-01-2026,11pm,7am,night shift,8,,,,,,,
03-01-2026, , ,day off,0,,,,,,,
04-01-2026, , ,day off,0,,,,,,,
05-01-2026,3pm,11pm,evenning shift,8,,,,,,,
06-01-2026,3pm,11pm,evenning shift,8,,,,,,,
07-01-2026, , ,day off,0,,,,,,,
08-01-2026, , ,day off,0,,,,,,,
09-01-2026,3pm,11pm,evenning shift,8,,,,,,,
10-01-2026,3pm,11pm,evenning shift,8,,,,,,,
11-01-2026,3pm,11pm,evenning shift,8,,,,,,,
12-01-2026,3pm,11pm,evenning shift,8,,,,,,,
13-01-2026, , ,day off,0,,,,,,,
14-01-2026, , ,day off,0,,,,,,,
15-01-2026,3pm,11pm,evenning shift,8,,,,,,,
16-01-2026,3pm,11pm,evenning shift,8,,,,,,,
17-01-2026,3pm,11pm,evenning shift,8,,,,,,,
18-01-2026,3pm,11pm,evenning shift,8,,,,,,,
19-01-2026, , ,day off,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
